address,num_of_common,num_of_bronze,num_of_silver,num_of_gold,num_of_platinum,num_of_brilliant
omniflix1k7cgwcjexnzureacrfc62q9p9xj0sy36vmnt32,1,4,0,0,0,0
omniflix1nu7mzuduep8d3j6qgscttesgx4t8wjcnxfua98,3,0,0,0,0,0
omniflix15wjmycrvuwe9rcpcz9w5m5c2qu08jfnjx8k3a5,2,0,0,0,0,0
omniflix1286l4k4sst9nhn5g4vrkqa2gkvq97l5c27azps,0,3,2,0,0,0
omniflix17nzfw4m6406w04p334ectt8g594tsamehl3zlz,3,0,0,0,0,0
omniflix122p76dh4jarhltdafmm6lsne9aq9q8gcuxvyjx,3,0,0,0,0,0
omniflix17qcd5ed8hpqht9um8cwg929kt4r9jn0rkgj03m,0,2,0,0,0,0
omniflix1ryxljd60y8w3vfxe5uud4a6ksyu4g790vmrp4a,0,2,0,0,0,0
omniflix1p0dhhln50raxevmtv2lpft5s7zt2lm9qrvkt9d,3,2,0,0,0,0
omniflix1208kpz9htuuqlgnut7a5heug08795x4ffe84xr,0,2,0,0,0,0
omniflix12penr0ulx8etpqv9ryjzy0azpdl587rrne8sr8,3,0,0,0,0,0
omniflix1jq3qfk78lfrez29kye4hgg38t3kn0an4hmfhmf,3,0,0,0,0,0
omniflix168h02hkpqhnzngavuj507kyf474fg7mc0cfqy5,0,4,3,3,0,0
omniflix18gtz6hxy0hmn4dregx9yn8lxtnxx4wv4ylq33l,0,2,0,0,0,0
omniflix10kdzk5r53r5anjtzyenegxhe9v54fjm3ezhkdv,0,4,2,0,0,0
omniflix10wzx4wtkln7rtfgre7frlfzztnn9qkgykkn9lv,2,4,0,0,0,0
omniflix10kh0smuq5h7s82k7lwkcqk45ptp6r4ng57d2m9,3,0,0,0,0,0
omniflix1mtjz89n2qumwc62ul6zw52gaz7n4q3hdrxxmtd,0,1,0,0,0,0
omniflix1jr882zdxc6xtaqfz8ajnelee489lwwpy39rl3h,0,2,0,0,0,0
omniflix1f8pffjsuvltlagxmlz8qnpk5sz7leezz0ecstv,0,3,0,0,0,0
omniflix1wt4s8jx0y9a6gknvu6l4zdw3q0fgkz4fm4wff0,2,0,0,0,0,0
omniflix1rzywlg64zc8n2f7k30wjdsa2ugpn29vx4f0jsf,3,0,0,0,0,0
omniflix1zmr7lxqaam4t8nn8q6jpgr6t7p9ay8hd8rlcjn,0,2,0,0,0,0
omniflix1nl229gpfz0erdf5q2gz58pl8k7p234vwdq68e9,0,1,5,0,0,0
omniflix198azqgkr9qrj2lnmk44erskn5e6uknjcunaxhd,0,0,2,0,0,0
omniflix1934qwv8eamfpufjucv74wpunw9tduftucns92p,1,1,0,0,0,0
omniflix1z9qv2zqnc4ksusxjxvswzx6j6rdqewgfzsp92g,0,2,0,0,0,0
omniflix1mf3stjmgvs5g9yy5ewjzjckdj0s6cfxcxa58e4,0,1,0,1,0,0
omniflix1sc5rn5y6s8taq5equhpknmq33h73m8jheag9lv,0,1,0,1,0,0
omniflix1fe9d7k5e8axa7uxtfa4smpz4ng58wjqjeq95em,0,2,0,2,0,0
omniflix14kw6payx49n2gezae5l9h8qplqfzz967yrtw3p,0,0,0,7,2,1
omniflix1xg8uz86rpf8at8zwjqxcmfxz7ws7gqq4m28vas,1,1,0,0,0,0
omniflix1sguwz396038g7dx0zy8mznqq04zmh35c7xdhj5,0,2,0,0,0,0
omniflix1v8z3dnjz6rk8un856l87lau4wax33f0nhqdqj8,0,2,0,2,0,0
omniflix1spfuppc6lycpzrdeavg4a5mplflru7yjwner9f,1,1,0,0,0,0
omniflix1n3sz2dweqp47kmp7aesldlzd5n04zwxsv5mqal,0,2,0,0,0,0
omniflix15y4pxruwzx8332atk97gat8l6s5wnnsuaen9uf,0,2,0,0,0,0
